text,sentiment
kuthyy ethach keva yetoyy nighalo gandu missed,negative
voice call reading room mdhe kuthyy hee,neutral
pahaa hii yetana tuzya friend sobat jaa,positive
aani calcii aana dada offering linkedin career,neutral
kickstarter program th december dear students greetings,positive
from dr d y patil educational complex,neutral
akurdi pune,neutral
,neutral
the details of linkedincareerkickstarter program are shared,positive
as below linkedin in their career building,neutral
while at college,neutral
,neutral
as a part of this linkedincareerkickstarter program,neutral
we offer their linkedin premium services to,neutral
the students of our partner institutions completely,neutral
free of cost,positive
,neutral
we have helped l students and k,neutral
faculties through this program in the previous,neutral
academic year,neutral
,neutral
based on the positive feedback from the,positive
students on how this program has helped,neutral
them improve their career prospects and institutions,positive
requesting to extend this to the incoming,positive
batch linkedin has accepted to extend the,positive
timeline of this project,neutral
,neutral
linkedin premium services offer a host of,neutral
benefits to students we see three major,positive
areas through which the students can directly,neutral
realize the value learning students can learn,positive
from a bouquet of courses across domains,neutral
in technology skills certifications professional networking students,neutral
would be able to directly connect with,neutral
recruiters industry leaders for mentorship and guidance,neutral
through inmail credit land internships linkedin has,positive
been a great platform to network and,positive
land jobs and internships the session regarding,neutral
the registration process is arranged as below,neutral
date th december time noon,neutral
,neutral
venue shantai auditorium all students should register,neutral
in the link on or before th,neutral
december pm,neutral
,neutral
registration link corporate relations placement cell dr,neutral
d y patil educational complex akurdi pune,neutral
water bottle bharun aann yetanaa are bhai,neutral
keva yetoyy hii nahi yenar hello the,neutral
king is aavaj ny yet jaude chal,neutral
tasach lavla hota baher mazi pant ahe,neutral
ti aatamadhe an pirates of the caribbean,neutral
𝐃𝐨𝐰𝐧𝐥𝐨𝐚𝐝 𝐖𝐚𝐭𝐜𝐡 𝐎𝐧𝐥𝐢𝐧𝐞 part part part part,neutral
part how to play terabox videos water,positive
lagat asel tr ne ithe table vr,neutral
aahe ok thanks janu lavadu gandu jagayacha,positive
katala aalay ka done call uchlnaa bhauu,neutral
hii bhai kay he he paha udi,neutral
marli kay konitari haa vajlyapsun haa palikadchya,neutral
bajune paha distoy too ha baghitala pan,positive
ka marli aree divas zalay asech krathota,neutral
pan ka bhai cricket ground kheltoy kay,neutral
ha pahat hoto br bagh tumhi kara,positive
re abhyas aree tu gelyapasun nahi kela,neutral
pokemon pahat hoto kapade wash kele gandu,neutral
aree bhai room vr yenar aahe ki,neutral
nahii hii kuthyy tu arpit mhnt hota,neutral
key khidkit aahe mi didikade aloy khidkit,neutral
key ahe aaj yenar aahe ka udya,neutral
mg aaj pm daba nako anu maza,neutral
j karun yein ok na okk kaku,positive
la sangitaly ka tuu ha chal re,positive
bhai mazii bee chi practical book aahe,neutral
ka bg re ha wise men speak,positive
because they have something to say fools,negative
because they have to say something,neutral
,neutral
kiti bhai kashacha aavaj yetoy evdha devansh,neutral
agrawal r vcf file attached bol hii,neutral
window me hai bhai konse arpit k,neutral
hii gelay ka tuu haa bre brr,neutral
this message was deleted this message was,neutral
deleted this message was deleted this message,neutral
was deleted this message was deleted this,neutral
message was deleted this message was deleted,neutral
this message was deleted this message was,neutral
deleted j kel ka ha ok to,positive
join the meeting on google meet click,positive
this link or open meet and enter,neutral
this code fmr fnsa ddw c buliding,neutral
chya pudhe yee kashala yeu re yevdhya,neutral
ratri hii room chi key no lock,negative
hii kakuncha call aalta kay mhanalya paise,neutral
deun taka mazee br hii tyala saang,neutral
aaj paper aahe hi vadapav chya shop,neutral
madhe gelywar mala scanner pathv i ve,neutral
got you a gift off use my,positive
referral link u airtel in sriuz and,neutral
save when you join,positive
,neutral
enjoy a seamless network experience with airtel,positive
prepaid,neutral
,neutral
get home delivery of sim at no,negative
extra cost,neutral
,neutral
grab it now,neutral
exciting opportunity for st year students,positive
hello everyone,neutral
are you passionate about ui ux designing,positive
or android web application development,neutral
,neutral
we re offering an incredible opportunity to,positive
work on real projects and gain hands,positive
on experience in these fields,neutral
,neutral
the best part,positive
you ll be working directly with startup,neutral
founders gaining insights into the industry and,positive
building valuable connections,positive
,neutral
internship details roles ui ux designing or,neutral
android web application development duration week certificate,neutral
internship certificate will be provided upon completion,neutral
if you re interested or have any,positive
questions feel free to reach out to,positive
contact details,neutral
,neutral
don t miss out on this chance,positive
to kickstart your career journey,neutral
,neutral
please note the internship will be provided,positive
after evaluating your work on a sample,neutral
design,neutral
,neutral
interested students fill the below given link,positive
deadline for form filling th april pm,neutral
best regards janhavi dahatonde tumhala aalay ka,positive
he nako bharu re form mi nay,neutral
bharat he aree konich nahi bharat brrr,neutral
mi nay yet ata sakali yeto hahahahahahaha,neutral
the best short video i have ever,positive
seen love it bro lavadu dabba ghe,positive
this message was deleted yety thamb page,neutral
hote ka ha ok he pn aahe,positive
atta pahile gand marto alyavar this message,neutral
was deleted ywtoy ka j pulav rise,neutral
parsal anun thev godavarimadhun vajta parsal aan,neutral
ok lady don mala ushir hoil biryani,positive
nko ka chya nanatar alo tar monday,neutral
ahe no thik ye on bike are,negative
kahani zali mazi beard aakhi shave clean,positive
zali mi capch navhti lavli aani tasch,neutral
kayala gelo aani ghotala zala gup lav,neutral
khar bhava mala laj vatiye mi mask,neutral
ghalun hindtoy alyavar baghato byy nako anu,neutral
anala nasel tar just gheun challoy kahi,neutral
nahi ye doghe enjoy kru yenar aahe,positive
ka alo min thamb dabba ghe baher,neutral
thevlet dabbe this message was deleted vivek,neutral
dada diksha barve vcf file attached number,positive
di mess plan dabba baher thev zale,negative
happy anniversary both thk dracarys yetana menu,positive
pahun ye re mess chaa player of,negative
the icc tournament trophy aste zhatu okk,neutral
math cha set a ahe ka prelium,neutral
hii dabba ala ka thi ke j,neutral
karto mi ghamand dina emojichya mi tar,neutral
dil pan puiiiiiiiiiiii don shut after rd,neutral
june lavada kolhi nakat bot ghalto nantar,neutral
tech tondat ghalto haaa pal cause he,neutral
don t have enough money for food,neutral
chal pal atta parat nko msg kru,neutral
happy birthday nemak kay chalu ahe out,positive
hou rahile sagale pitch difficult aahe wait,negative
maaz kam chalu aahe kay i like,positive
it this message was deleted this message,neutral
was deleted royal challengers bangalore tu pn,positive
rcb chafan hota bhau pata he muze,neutral
this message was deleted room oper ahe,neutral
print aantos ka yetani ok limited time,positive
deal themisto th t in combination screwdriver,positive
set pack of hello everyone,neutral
,neutral
we gladly announce connect with industry experts,positive
a cybersecurity journey at d y,neutral
,neutral
patil international university akurdi are you passionate,positive
about cybersecurity,neutral
,neutral
join our upcoming event where you ll,positive
have the unique opportunity to connect with,positive
seasoned professionals in the field,neutral
,neutral
whether you re curious about cloud security,positive
penetration testing or digital forensics this event,neutral
is tailor made for you,neutral
,neutral
get ready to gain insights ask questions,positive
and receive guidance from the best in,positive
the industry,neutral
,neutral
let s build a stronger cybersecurity community,positive
together,neutral
,neutral
the hackers meetup pune is a great,positive
opportunity to network learn and have fun,positive
with like minded individuals,positive
,neutral
date th july time am onwards venue,neutral
shantai auditorium for more details and to,neutral
rsvp visit don t miss out on,negative
this amazing event,positive
,neutral
spread the word and bring your friends,positive
along,neutral
,neutral
see you there,neutral
hii call uchal chal reee noob noobb,negative
kiti vajta yenar aahes awar yetoy jevayla,neutral
nighalo mi getvar ye kontya brr konryapan,neutral
ghii tu pm omkar shinde hello everyone,neutral
,neutral
we gladly announce connect with industry experts,positive
a cybersecurity journey at d y,neutral
,neutral
patil international university akurdi are you passionate,positive
about cybersecurity,neutral
,neutral
join our upcoming event where you ll,positive
have the unique opportunity to connect with,positive
seasoned professionals in the field,neutral
,neutral
whether you re curious about cloud security,positive
penetration testing or digital forensics this event,neutral
is tailor made for you,neutral
,neutral
get ready to gain insights ask questions,positive
and receive guidance from the best in,positive
the industry,neutral
,neutral
let s build a stronger cybersecurity community,positive
together,neutral
,neutral
the hackers meetup pune is a great,positive
opportunity to network learn and have fun,positive
with like minded individuals,positive
,neutral
date th july time am onwards venue,neutral
shantai auditorium for more details and to,neutral
rsvp visit don t miss out on,negative
this amazing event,positive
,neutral
spread the word and bring your friends,positive
along,neutral
,neutral
see you there,neutral
pm omkar shinde awar yetoy jevayla pm,neutral
omkar shinde nighalo mi pm tuza headphone,neutral
room vr aahe mahiti ahe this message,neutral
was deleted this message was deleted what,neutral
about dinner go home get out from,neutral
class you are absent in induction programme,neutral
arriving today your amazon package with item,positive
s from your order is out for,neutral
delivery,neutral
,neutral
bhai tula madhi hours break aahe tevha,neutral
yeil tevha ja mala break asla tr,neutral
mi jail pal trimmer ala ka nay,neutral
phone yeun gela tevha mi lec madhe,neutral
hoti hoto ok nahi mi room vr,positive
aaloy pn ajun call nhi aala te,neutral
kalal mala baki sangaychi garaj navati this,neutral
message was deleted chavani shrawani reading room,neutral
la aahe ka yes bro order mule,positive
mi room vr aaloy mi pn yenar,neutral
hoto yeto atta mi pn pn order,neutral
ch kay la ye kapde aani boot,neutral
dhun deti ka maze l dhun dein,neutral
pratik aani sandeep aale ka nay pal,neutral
ata j ch kay khaych kristy restaurant,neutral
m m maderchod break bottle bharun aan,neutral
room madhle pani mi nahi pit room,neutral
var thamb alo kuthay ithy tu room,neutral
tu mi aaloy baher firyala pal zatu,neutral
photo tak live kuthay kevha yenar aahw,neutral
aahe reading la ha kadhi yenar aahw,positive
mi just aloy room var gappa chalu,neutral
hotya jara ani online test pan hoti,neutral
parat asle msg taku nko parat mhnshil,neutral
स ग तल न ह tyamule ushir,neutral
zala chatgpt ki mkc yeu nko tu,neutral
mg mich yeto roomvr j karyla ye,neutral
biryani आम ह ऑर डर द ल,neutral
pal mg jaa tu kha g zatupana,neutral
magh bagh tuzya व र ध ह,neutral
त द घ ऐक ज कल ऐक,neutral
हरल kaltay te mast zal roa lai,neutral
majja bhai mala krnar hote cr parat,neutral
message nako karu mala reels pahude nikal,neutral
bsdk gheun nay ala tar room var,neutral
nako yeu nahi aanla tyane takle tula,neutral
cash gheun ye nko taku mi ghari,neutral
nahi aalo bahiniichya ghari aaloy tith cash,neutral
nay bhetat ka mi ny ghet gharich,neutral
bhetatat ka mala nako sangu gheun ye,neutral
tu umbrella gheun gela ahe ka arpit,neutral
bhai ne neli aahe happy friendship day,positive
happy friendship day this message was deleted,positive
this message was deleted tata crucible campus,neutral
quiz by tata crucible uncover exciting rewards,positive
now,neutral
,neutral
mala call kr jevha pn jevyla jashil,neutral
ok yetoy ka ha nighalo limited time,positive
deal noise newly launched wireless on ear,positive
headphones with h playtime mm driver low,negative
latency up to ms dual pairing bt,neutral
v carbon black target complete,neutral
,neutral
okkk hii tuzya whatsapp business aahe nahitr,neutral
atta boloo asto kay pan shruti mam,neutral
can eat x like this mam in,positive
breakfast pal even my omkar looks beautiful,positive
than this her mi challoy mazi pant,neutral
aani shirt not thev jatana kuthay reading,neutral
room,neutral
,neutral
room vr aahe aloch thamb j kel,neutral
ka hoo mi bahinikde aaloy tula sangitl,neutral
hot na zatu gela ka re gavala,neutral
ha hii key sobat aahe ka ha,positive
kdhi yetoy udya kuthay room var gela,neutral
ka kuthy room yetoy ka jevyala ha,positive
ka vel lagel tula tu kuthay ok,positive
ye baghto tuzyakde mi ithe girlfriend sobat,neutral
aah gan kade bagh na mazya majjak,neutral
keli mi br ye mg pan mi,neutral
majjak nay karat aajari aahes lka ajun,neutral
no way doctor mi banto maaze injection,negative
tula martooo ani nantar maza lav tuzya,neutral
ga takato hii call ka mala scholarship,neutral
form madhe no data dakhbty dakhvty omkar,negative
pranjal shruti euuuuu hii ye lavkar do,neutral
yetoy ka nahi clear kr mala min,positive
nahiii this message was deleted magh tuza,neutral
dad ahe vel nahi mazyakde lai kaam,neutral
aahe mala he te room vr aahe,neutral
ka all the students are hereby informed,neutral
that oop quiz test will be live,neutral
on erp juno at pm on,neutral
,neutral
the duration of the test is mins,neutral
use url link to attend the test,neutral
don t use juno mobile app hii,neutral
reading room la aahe re chal lavdya,neutral
are mi mhnlo hoto aadhi reading room,neutral
la aahe sorry please sorry bhai ajun,positive
sticker pathv mi add krtoy yeto ka,neutral
ata mg kha if n int_max return,neutral
x,neutral
,neutral
x,neutral
if n int_min return x x,neutral
abhi waqt hai haath pair jodlo mere,neutral
aage hii mazi calcii tu ghetliye ka,neutral
no are nakkii sang majja nko kru,negative
nay re mi mobile var kartoy kal,neutral
pasun this message was deleted dog pakadach,neutral
kam chalu ahe baher location jm corner,neutral
la thamblo ahe ok live location shared,positive
scanner sc new scanner system in int,neutral
t sc nextint while t int l,neutral
sc nextint int arr new int l,neutral
for int i i l i arr,neutral
i sc nextint hashmap integer integer map,neutral
new hashmap for int i i l,neutral
i if map containskey arr i map,neutral
put arr i map get arr i,neutral
else map put arr i int max,neutral
num for integer key map keyset if,neutral
max map get key max map get,neutral
key num key map remove num int,neutral
max num for integer key map keyset,neutral
if max map get key max map,neutral
get key num key if max max,neutral
system out println confused else system out,negative
println num t mazi notebook aan yetana,neutral
dsa chi tya tablevr asel your email,neutral
idk hii geeks for geeks vr test,negative
aahe na ha hii yetana biscuit aan,positive
ee pal aaan ree lavlya pal linkedein,neutral
la request koni takli re hi aamcha,neutral
entc cha coding club cha form bharu,neutral
ka nko re recruitment aah konata name,neutral
entc coding club join our coding club,positive
recruitment day are you passionate about coding,positive
and eager to explore the exciting world,positive
of programming,neutral
,neutral
look no further,negative
the coding club is thrilled to invite,positive
all enthusiastic students to our recruitment day,positive
this saturday,neutral
,neutral
date saturday time pm onwards venue teams,neutral
google meet why join us,positive
,neutral
learn from projects enhance your coding skills,neutral
and problem solving abilities,positive
,neutral
collaborate on innovative projects and gain real,positive
world experience,neutral
,neutral
connect with like minded peers and build,positive
a strong network,positive
,neutral
how to participate,neutral
register fill up the form,neutral
prepare brush up on your coding basics,neutral
and come with your enthusiasm,positive
,neutral
don t miss this opportunity to kick,positive
start your coding journey and be a,neutral
part of a vibrant community that shares,positive
your passion,positive
,neutral
we look forward to seeing you on,neutral
saturday,neutral
,neutral
note only registered candidates will be interviewed,neutral
on saturday only best regards ce team,positive
kay garaj nay ek kelana join bass,positive
okk hyach club madhe dedication ne work,neutral
kar hi mi room vr challoy maar,neutral
gaapppaa mala ignore krto ka ikde ye,negative
re input condition ch saaang hi charger,neutral
gheun ye pal zala ka bhai question,neutral
ka ajun kelach nai live lecture telegram,neutral
this message was deleted this message was,neutral
deleted ha question kar khup easy ahe,positive
tu kuthyy tuzya hey everyone i hope,positive
you guys are doing extremely well,positive
,neutral
today we are going to conduct an,neutral
online meet to get know each other,neutral
also me and shailesh will help you,positive
regarding any doubt and will assist you,negative
,neutral
this discussion not only about dsa but,neutral
beyond dsa,neutral
,neutral
you can also ask about handling academic,neutral
career related questions web dev android dev,neutral
and much more,neutral
,neutral
feel free to ask your doubts and,positive
we will answer them according to our,neutral
level of expertise,neutral
,neutral
to join the meeting on google meet,positive
click this link or open meet and,neutral
enter this code anc pjmh ash to,neutral
join the meeting on google meet click,positive
this link or open meet and enter,neutral
this code tdf cqge mpy chal lavdya,neutral
room vr jaun vaach tase pn dsa,neutral
kelay aaj tu mhnla mggg vach room,neutral
vr aajchya divas hii bol kuthy re,neutral
didikade maze insta i d aahe ka,neutral
bhai tuzyakde khr saang ree kay zal,neutral
re tu saang this message was deleted,neutral
you deleted this message kay zal te,neutral
sang are asach mhntoy ky ny ha,positive
kiva nahi saang nikal virat aura hii,neutral
kadhi yetoy yeu rahilo yetoy mhn re,neutral
yeu rahilo kay la gym la jayach,neutral
ahe mi ajun clg madhe ch aahe,neutral
hi room vr yenar ashil na tevha,neutral
ye hii kevha yenar aahe tu yetana,neutral
gheun ye pal nay mahes patil subscribe,neutral
my brothers chaneel we are live now,neutral
your action is needed here thanks for,positive
your interest in a top tech career,positive
by the indian institute of technology mandi,neutral
,neutral
no late entry will be entertained,positive
click to join now chal lavkar call,positive
kar aaj mi hoto mhnun by nay,neutral
kela vaty happy diwali test chalu ahe,positive
you deleted this message insta la request,neutral
ali asel tar accept kar mazya konachii,positive
girl ok la ready rahay j hi,positive
yetana rolls gheun ye chapati aani bhaji,neutral
aahe people would pray to get this,positive
after college,neutral
,neutral
acres of land with good facilities late,positive
night walks in campus making friends without,positive
checking financial background status etc hostel life,neutral
fun truly social meeting dozens of friends,positive
batch mates every day,neutral
,neutral
no responsibility of child parent peak of,negative
youth,neutral
,neutral
making mistakes fooolish mistakes,negative
we will win in career life,positive
learners never lose marathons,positive
just reminding you to go out for,neutral
an hour appreciate this while it lasts,positive
make sure to record lots of videos,positive
of this journey,neutral
,neutral
college life becomes good memory if you,positive
do good not so good if someone,positive
wastes all time batchmates do better,positive
,neutral
dam na jara min lagel happiness iz,positive
not by chance but by choice iz,negative
is if iz is new discored word,neutral
of you then ok this message was,positive
deleted you deleted this message this message,neutral
was deleted kanmani this message was deleted,neutral
you deleted this message rs takle ka,neutral
dr la class solution public boolean path,positive
node root int n arraylist integer list,neutral
if root null return false if root,neutral
data n return true list add root,positive
data boolean left path root left n,neutral
list if left return true boolean right,positive
path root right n list if right,neutral
return true list remove list size return,positive
false public arraylist integer ancestors node root,neutral
int target arraylist integer list new arraylist,neutral
path root target list collections reverse list,neutral
return list hii mi j krun gheto,neutral
yetana mala vadapav gheun ye ushir honar,neutral
aahe ka aaj pn j karun ghe,neutral
j karun ghe mi aaj room var,neutral
ny yet he rutu okk chya room,neutral
var j karun ghe do room vr,neutral
ye room var nay yet he mi,neutral
aaj are tumhi tr topic pn fix,neutral
kelay mi ghari janar aahe,neutral
,neutral
ksse combination hoil vs code open kelywar,neutral
he yeaty bhai solve zale ok hi,positive
kay kaam hote bol mi challoy jay,neutral
ok studysync end zala ka message baghun,positive
reply nay det are atta pahilay chalu,neutral
ye halu halu mai idharrichhh hu llm,neutral
model chi information gheun theva sagale llm,neutral
full form tuze pasand hai majja aata,neutral
hai kahipn sangtos ka re evdha funny,positive
apan khelu room var mi ny yetye,neutral
group var reaction det ja ignition koni,neutral
message taklyavar responsive che points rahilet mala,positive
yayla vajtil yetana dabba gheun ye meeting,neutral
conduct kr jr aale astil tr sagle,neutral
mg aapn bolu room vr ha te,positive
aanly bhaji,neutral
,neutral
bhendi shengadanyachi bhaji aahe n chal re,neutral
bhai vajle kuthay whyy room vr je,neutral
features tu add kelete te screen wise,positive
responsive banvyche mhntoy ka tu no ui,positive
mast banava arrangement change kara input box,neutral
chi effect dya ok google la ya,positive
project sarkhe ui asel tyanusar baghto shadow,neutral
day yuppp he paha brr chalele ka,neutral
ye type madhe aani te tu pathvly,neutral
te add krel kuthe tri yachya vr,neutral
add krto kas are mhnje he nay,neutral
he jse banvly tse chalel ka nay,neutral
re mi design tayar karun pathavel group,neutral
var accha mg tu pathvly tasle baghto,neutral
okk tula chips lagt asel tr gheun,neutral
ja bass na bhai kashala future waste,negative
krtoy happy birthday bhau bottle de bottle,positive
de bottle de ayyy bottle de ayyy,neutral
gappa nko maruu bottle deun ja do,neutral
darwaja lavun gelas ka konta room cha,neutral
baherun nay re wahhh karach lavalay kay,neutral
mi kaamawali kdhi yet aste night la,neutral
mg kay j karyla ikde ya aaj,neutral
meeting la kdhi jayche aahw ka nahi,neutral
message read kela ka group varach light,neutral
laav aamchya ithli tya porani sngitli aahe,neutral
bhai porn pahun timepass nko kruuu mala,neutral
la jayche ushir hotoy bhai clg la,neutral
phone nanatr bg ok bhai maze zipper,positive
gheun ye tuz gela tr ok tumachy,positive
cpmc chya group var message takala ka,neutral
contest cha jayche ka saang fast min,neutral
jayche ka no gandu messege nako karu,negative
shantai madhe gelay ka chal bhai time,neutral
houn gely lavdya bottle konachi dilti ekta,neutral
pranali gheun geli mazyakde mazyakdun chal re,neutral
tak na mi nighalot nighalot nighaloy nigh,neutral
na mg mala kay sangato are ky,neutral
aanu saang biryani ok ka missal pav,positive
khaycha as ur wish ka egg bhurgi,positive
bhurji ne pot nay bhart ohhhhhh kasakay,neutral
egg biryani mhntoy ka bhurji mhntoy gandu,neutral
egg biryani tu bhurji mhnla te sod,neutral
for converned individuals only kay aahe re,neutral
he i dont no about that hii,positive
te bamboo aahet re dmart madhe kitila,neutral
price,neutral
,neutral
atta jaude atta room vr aaloy hoti,neutral
but it s looking amazing or not,positive
,neutral
tu jasa photo dakhvla hota tasa hota,neutral
ohh nice dance dekhne aaya hu woh,positive
toh krke aaunga biryani neun thev room,neutral
vr pal lavadya tondat ghi ata ye,neutral
parat aatmdhe gheto bhai te piuuunnn pn,neutral
ye atta aaj nko yeu udyach ye,neutral
bhai tu room vr atta kay re,neutral
bhai call uchal la aahe ek ka,neutral
doni ek kay kruu anaki konate ahe,neutral
te photo tak evdhech aahe re another,neutral
different pots nahi hech good kay re,positive
chal by lavdya khush ka bhai kelte,neutral
phone silent aahe n bhavdya mg awaj,neutral
kasa yeil lavdya you deleted this message,neutral
mi j kel ahe akela gaya tha,neutral
kya khaana khane,neutral
,neutral
no mhnje kay nakki khush hoja room,negative
open rahude mi kadhi pan yeu shakto,neutral
pal chal bhai jayche ka room vr,neutral
ky r re call nko lau msg,neutral
kr kay asel te tu gheun ye,neutral
re mala pn,neutral
,neutral
are mahesh on fire notes with pdf,negative
you deleted this message mountain dew gheun,neutral
ye ok mala rs pathavun thev this,positive
is not complted yet we have to,neutral
make minor changes i made only structure,neutral
ok boss image left side la tak,positive
य त म न ऊन ठ व,neutral
zal kam can t talk now,neutral
,neutral
call me later,neutral
why hoiii kashala msg krto bs na,neutral
shant kuth bhai atta pani anlyla gelo,neutral
hoto current basla tasach allo return xxyy,neutral
distoy ky china la gelta ky cutting,negative
kryla lvdya nagalara pravara clg la,neutral
,neutral
dabba aanlay bhai hii kuthy re tu,neutral
clg headphone aahe ka extra maza room,neutral
vrch rahilay lavkar saang aahe ka nahi,neutral
nay re wire cha room varach ahe,neutral
ok jato ka mg room vr ye,positive
gheun tuza pn aani maza pn ja,neutral
lagech aani gheun ye csk la ban,negative
hoti na whin team win in this,positive
year yeah pillu team mumbai la jar,positive
csk ban nasati tar ti trophy pan,negative
mi kade nasati ghe lavdya dhoni pune,neutral
chya team madhe hota tevha aani pune,neutral
vs mumbai final zalti dhoni la bumrah,neutral
ne out kelta mg harli pune lavdya,neutral
mi dhoni mhanaloch nay re mi csk,neutral
mhanatoy bala ha pn main character tya,positive
team madhe dhoni ch hota csk aso,neutral
ya pune main character dhoni ch hota,neutral
ho ka mg virat main character ahe,neutral
tar rcb everytime harcb ka hote as,neutral
a rcb fan i accept reality that,positive
our team will not win logic toh,negative
hai iss baat mai iss saal lolipop,neutral
ho ho headphone de na mala aanun,neutral
shivajinagar byyy headphone deun gela asta n,neutral
yar mala link takun thev re attachya,neutral
match chi ka hona oyyyyyy hoyyy hoyyy,neutral
oyyyyy balle ball e party kb de,positive
rha tak na khalchi aahe bg vrchi,neutral
dusrich aahe chal re jayche ka ho,neutral
chal mg mahalakshi nanatr band hoil mg,neutral
ho ho chal college ambassador internship program,neutral
application form go through this link to,neutral
know perks and role details pathvna bhai,neutral
mi misalpaav khyla aaloy kiti time lagel,neutral
sangta yet nhi to paryant band hou,neutral
shakte sagl aye mc pani bottle bharun,neutral
aan yetana bhadkau bhava,neutral
,neutral
r a n d i link pathav,neutral
cricket chi last match aahe dhoni chi,neutral
today match pathav nko pahu match even,neutral
if dhoni remains not out until last,neutral
ball csk gonna lose this one khup,negative
chutiyapana chalu ahe kiti run pahije asle,neutral
chase fakt kohli ch kru shakto ball,neutral
run dhoni chi sagli family present aahe,neutral
tyat to aaj lavkar batting karyla aala,neutral
aahe might b his last matcg shengdanyacgi,neutral
chutney aahe pn tyasobat bhakr aahe mi,neutral
aaloy re room vr yetana kahitri gheun,neutral
ye mala challoy re you deleted this,neutral
message door close karun gela na nahi,neutral
re mazyanatr ti bai zadat hoti ti,neutral
geli asel laun mala edit krun pathav,neutral
tyana aaj bolnar hoto mi pn gavala,neutral
gele aahe vatat you deleted this message,neutral
laptop charger tuz room var ahe yeah,positive
boiiii you deleted this message you deleted,neutral
this message tarbuj khun ghe sagal yetana,neutral
painkiller headache aani fever chya tablet aan,neutral
kha toparyant pn tu nahi na ithe,neutral
nko aanu re pikashow hey,neutral
,neutral
i m using pikashow app for watching,neutral
exclusive contents like netflix zee amazon prime,positive
alt balaji ullu and more various movies,neutral
series livetv it is very easy to,positive
stream or download for any requests or,neutral
support join telegram channel app link zepto,positive
var cashback ala asel tar order kar,neutral
kahi tu khaun ghe re ka kahi,neutral
aanyche parcel ho veg rice from laziz,neutral
nirma pan gheun ye nako anu kahi,neutral
nonsense balance tak mala cha g unlimited,negative
lavkar jast kay bolava mala kalata nahi,neutral
call kelta room vr aahe ka tu,neutral
no didikade la yenar ahe room lock,negative
ahe accha thik ye abhays kr re,neutral
jara kay re hii pratik la pn,neutral
aan ok alas ka tu gavavrun nay,neutral
message la thum dil mhanun mhanato kay,neutral
this message was deleted this message was,neutral
deleted mhnlo aalto mi mhnun kevha ala,neutral
kal study tya chya sathich aaloy rd,neutral
year cha study chalu karyche udya pasun,neutral
mast kara study doghe gate chi preparation,neutral
karychi tyamule udyapasun lai danger abhays kryache,negative
chal bhai percentage charging aahe krto charge,neutral
atta light ch yet nahi gavala gavala,neutral
mand insan tu aalay ka akurdi la,neutral
mand mi la yenar ahe gharach kam,neutral
chalu ahe thike ye mg mi aahe,neutral
ithech tu आम ह द घ study,neutral
krto atta yeil mi pn la lock,neutral
khatam ohh ho grocery delivery app mast,neutral
keep creating gela ka tu room var,positive
ha kalach kharach photo tak room cha,positive
ok min takto ka lagech j karayla,positive
aloy duparach tyacha photo tak are parcel,neutral
gheun challoy aaloy thamb min road cha,neutral
photo tak room cha atta aloy mi,neutral
you deleted this message tu kay kele,neutral
ka ghari mi tr gottya jinklo lai,neutral
you mean you are in home kahi,neutral
abhays tr nahi kela good job mi,positive
tar upsc kartoy gottya aanu ka tula,neutral
khelayla ho gate zindabad mast samjlo nahi,neutral
mhnje kevha jayach mg,neutral
,neutral
room var kuthe firyla ka are bc,neutral
mi ikdech aahe na sang na kevha,neutral
jayach chal mi jevto atta tu kay,neutral
chakkar ahes kay re sahab engineering kr,neutral
rha hu dedo sahab you deleted this,neutral
message ha dialogue mazya gavala marla hota,positive
toh driver utrla jota hota gaditun pn,neutral
aamhi sagle aslyamule vachlo fatli hoti hathbhar,neutral
jaude mi yetoy la ok yayche tevha,positive
ye aani yeun ja chal jevto mi,neutral
ghari kharab bluetooth earphone ahe ka,neutral
,neutral
kevha jayach re,neutral
kantala ala ghari ata a ccha,neutral
th year a la,neutral
kanamani thamb min min zale nay ka,neutral
tu sang ladies first jully la ye,neutral
yache tevha ho tu kuthay mi doctor,neutral
kde jayche aata fever aalay room var,neutral
ahe ka ghari,neutral
,neutral
room vr i want to believe you,positive
but my mind says don t believe,neutral
him this message was deleted jaude mi,neutral
pan yeto la reading room la jato,neutral
ka mahesh asato ka hoy asto na,neutral
mg tu percent ghari ahe reading room,neutral
la kay sone aahe kay mahesh ghari,neutral
gela kalach ghari basun study hot nahi,neutral
ka nay paus ahe ka tikde ikde,neutral
lai chally khup this message was deleted,neutral
mand insaan dp change kar bhai hech,neutral
mi tula bolnar hoto coincidence lier chal,neutral
anghol karychiye follow kar tak lavalar,neutral
,neutral
